id,main,secondary,name,city,street,streetNumber,ZipCode,Lat,Long
1828995188,tourism,attraction,Cripta di San Giovanni in Conca,,,,,45.461102300001,9.1888923999999
1892441468,tourism,attraction,F-84 F Thunderstreak,,,,,45.4612943,9.1716148999999
1892441476,tourism,attraction,Fiat G91R,,,,,45.4613219,9.1715274999999
1892441493,tourism,attraction,North American FIAT F–86 K,,,,,45.4612365,9.1717260999999
1898336411,tourism,attraction,Cappella Portinari,,,,,45.4541326,9.1822591999999
2409671784,tourism,attraction,Teatro Romano,,,,,45.4653175,9.1828440999998
4141759289,tourism,attraction,Battistero di San Giovanni alle Fonti,,Piazza del Duomo,,,45.464703500001,9.1907482999998
4199908219,tourism,attraction,,,,,,45.461744400001,9.1707093999998
4199908221,tourism,attraction,,,,,,45.461392600001,9.1712228999998
4199908271,tourism,attraction,,,,,,45.461704900001,9.1706582999998
4209403195,tourism,attraction,Foro Romano,,,,,45.463581800001,9.1855223999998
4895244063,tourism,attraction,Dialogo nel Buio,Milano,Via Vivaio,3,20122,45.468796000001,9.2029353999999
4895322676,tourism,attraction,Albergo diurno Venezia,,,,,45.474908400001,9.2051447999999
5722091909,tourism,attraction,Wall of Dolls,,,,,45.457601400002,9.1805806999999
8188146117,tourism,attraction,Casa dell'Orecchio,,Via Gabrio Serbelloni,10,20122,45.469605200002,9.2018120999998
1000000004519679,tourism,attraction,Villa Imperiale,,,,,45.465130000002,9.1805467999998
1000000004999091,tourism,attraction,Torre Velasca,,,,,45.459902800002,9.1906651999998
1000000022817835,tourism,attraction,Palazzo Mezzanotte,,,,,45.465211200002,9.1832098999998
1000000023227442,tourism,attraction,Chiesa di San Fedele,,,,,45.466751800002,9.1915634999998
1000000024971631,tourism,attraction,Basilica San Nazaro in Brolo,,,,,45.458760100002,9.1927068999998
1000000026612693,tourism,attraction,Fontana di Piazza Castello,,,,,45.469221600002,9.1809455999998
1000000027596084,tourism,attraction,Chiesa di San Pietro in Gessate,,,,,45.463111600002,9.2015066999998
1000000027596330,tourism,attraction,Porta Venezia,,,,,45.474498100002,9.2048011999998
1000000027596332,tourism,attraction,Porta Venezia,,,,,45.474282100002,9.2052263999998
1000000027626748,tourism,attraction,Duomo di Milano,,Piazza del Duomo,,20122,45.464180000002,9.1916156999998
1000000027755927,tourism,attraction,Santa Maria delle Grazie,,,,,45.465977100002,9.1711715999998
1000000028099057,tourism,attraction,Arco della Pace,,,,,45.475688500002,9.1724239999998
1000000030703942,tourism,attraction,Giostra,,,,,45.474069100002,9.2015227999998
1000000037651570,tourism,attraction,Palazzo Dugnani,,,,,45.474471800002,9.1966962999998
1000000038000599,tourism,attraction,Basilica di San Simpliciano,,,,,45.473989500002,9.1846675999998
1000000039349468,tourism,attraction,Chiesa di San Bernardino alle Ossa,,,,,45.462613900002,9.1955598999998
1000000040492172,tourism,attraction,Autoscontri per bambini,,,,,45.473769000002,9.2013862999998
1000000042026982,tourism,attraction,Via Abramo Lincoln,,,,,45.465089600002,9.2088301999998
1000000042106021,tourism,attraction,Chiesa di San Marco,,,,,45.473313500002,9.1889592999998
1000000042220363,tourism,attraction,Chiesa di Santa Maria Incoronata,,,,,45.479444500002,9.1866176999998
1000000042920379,tourism,attraction,Porta Garibaldi,,,,,45.480764700002,9.1869654999998
1000000043705671,tourism,attraction,Chiesa di Santa Maria del Carmine,,,,,45.470455700002,9.1860267999998
1000000044448850,tourism,attraction,Basilica di San Babila,,,,,45.466979900002,9.1983826999998
1000000044601409,tourism,attraction,Basilica di San Carlo al Corso,,,,,45.466288200002,9.1961881999998
1000000045671470,tourism,attraction,Santa Maria presso San Satiro,,,,,45.462703300002,9.1877698999998
1000000046103655,tourism,attraction,San Maurizio al Monastero Maggiore,Milano,Corso Magenta,13,20123,45.465442300002,9.1789523999998
1000000162825962,tourism,attraction,Sottomarino Enrico Toti,,,,,45.461698400002,9.1711176999998
1000000163757278,tourism,attraction,Galleria Vittorio Emanuele II,,,,,45.464752500002,9.1900261999998
1000000164070432,tourism,attraction,Chiesa di Santa Maria della Passione,,,,,45.465259400002,9.2037800999998
1000000165882137,tourism,attraction,Basilica di San Lorenzo Maggiore,,,,,45.458041100002,9.1820925999998
1000000165882138,tourism,attraction,Basilica di Sant'Eustorgio,,,,,45.453979800002,9.1814916999998
1000000166623693,tourism,attraction,Galleria Vittorio Emanuele Secondo,,,,,45.465611400002,9.1900264999998
1000000166623705,tourism,attraction,Galleria Vittorio Emanuele Secondo,,,,,45.465647100002,9.1900111999998
1000000176511666,tourism,attraction,Ottagono,,,,,45.465609300002,9.1900307999998
1000000176512639,tourism,attraction,San Giovanni in Conca,,,,,45.461134800002,9.1888513999998
1000000176530591,tourism,attraction,Archi di Porta Nuova,,,,,45.472142200002,9.1949400999998
1000000176572467,tourism,attraction,Porta Ticinese,,,,,45.457590800002,9.1809559999998
1000000190036557,tourism,attraction,San Bernardino alle Monache,,,,,45.460270200002,9.1785600999998
1000000204323019,tourism,attraction,Casa Galimberti,,,,,45.474526300002,9.2069607999998
1000000204329261,tourism,attraction,Chiesa di San Gottardo in Corte,,,,,45.462799600002,9.1919488999998
1000000204612496,tourism,attraction,Basilica di San Calimero,,,,,45.456625300002,9.1931432999998
1000000207101070,tourism,attraction,Casa degli Omenoni,,,,,45.467372500002,9.1919109999998
1000000260828545,tourism,attraction,Cappella di Sant'Aquilino,,,,,45.457781500002,9.1820193999998
1000000268469903,tourism,attraction,Parco Archeologico,,,,,45.457691800002,9.1793647999998
1000000323945088,tourism,attraction,Conca dell'Incoronata,,,,,45.479231100002,9.1892820999997
1000000331883966,tourism,attraction,Galleria Vittorio Emanuele Secondo,,,,,45.465670300002,9.1900265999997
1000000345751356,tourism,attraction,Torre di Massimiano,,,,,45.465071300002,9.1785085999997
1000000376051694,tourism,attraction,Basilica di San Vincenzo in Prato,,,,,45.457665500002,9.1739952999997
1000000421120724,tourism,attraction,Circo romano,,,,,45.465161400002,9.1787186999997
1000000421120725,tourism,attraction,Circo Romano,,,,,45.461080100002,9.1799717999997
1000000421122318,tourism,attraction,Anfiteatro Romano,,,,,45.457439400002,9.1787268999997
1000000431354438,tourism,attraction,Ex chiostro di Sant’Erasmo,,,,,45.471600200002,9.1919811999997
1000000702995936,tourism,attraction,Circo Romano,,,,,45.464079900002,9.1802265999998
1000000740215877,tourism,attraction,Colonne di San Lorenzo,,,,,45.458229700002,9.1810450999998
2000000000001918,tourism,attraction,Castello Sforzesco,,,,,45.4705593,9.1791855
2000000000014196,tourism,attraction,Rotonda della Besana,,,,,45.4597785,9.2052064
2000000000033663,tourism,attraction,Ca' Granda,,,,,45.4601067,9.1945901
2000000000036490,tourism,attraction,Palazzo dell’Arcivescovado,Milano,Piazza Fontana,2,,45.463335,9.1929622
2000000000036491,tourism,attraction,Palazzo del Capitano di Giustizia,,,,,45.4638311,9.1951953
2000000000036501,tourism,attraction,Palazzo del Senato,,,,,45.4702776,9.1988607
2000000000037717,tourism,attraction,Basilica di Sant'Ambrogio,,,,,45.4622723,9.1754808
2000000000178303,tourism,attraction,Palazzo di Brera,,,,,45.47189,9.1886508
2000000002356022,tourism,attraction,Palazzo Crivelli,,,,,45.4728127,9.1858259
2000000002783859,tourism,attraction,Palazzo Litta,,,,,45.4660498,9.1783695
2000000006552704,tourism,attraction,Teatro alla Scala,Milano,Piazza della Scala,1,20021,45.4674785,9.189085
2000000007034377,tourism,attraction,Palazzo Acerbi,,,,,45.460204,9.1895702
2000000009081138,tourism,attraction,Colonne di San Lorenzo,,,,,45.4582318,9.1810448
268598843,amenity,bank,Banca Popolare di Milano,,,,,45.462102,9.2025249
282179865,amenity,bank,BNL,,,,,45.452937,9.1813922
282179866,amenity,bank,BCC Banca Credito Cooperativo,,,,,45.4523725,9.1811993
282179867,amenity,bank,Monte dei Paschi di Siena,Milano,Viale Gian Galeazzo,17,20122,45.4528089,9.1834746
282179868,amenity,bank,Banca Popolare Commercio e Industria,,,,,45.4527687,9.1839883
282179869,amenity,bank,BPER Banca,,,,,45.4527078,9.184849
282180093,amenity,bank,Banca Popolare di Lodi,,,,,45.4513842,9.1900979
282180094,amenity,bank,Credito Artigiano,,,,,45.4521333,9.1911427
282180286,amenity,bank,UniCredit,,,,,45.452443,9.2015216
282180360,amenity,bank,Credem,,,,,45.4606015,9.2069995
282180471,amenity,bank,UniCredit Bank,,,,,45.4621099,9.2064682
282180949,amenity,bank,Monte dei Paschi di Siena,,,,,45.4676695,9.2085182
357250300,amenity,bank,BNL,,,,,45.4722079,9.2031106
408783075,amenity,bank,Banco BPM,Milano,Corso Genova,29,20123,45.4560092,9.1739814
435190953,amenity,bank,Banca Commerciale Italiana,,,,,45.4704356,9.1919786
441161268,amenity,bank,Che Banca!,,,,,45.4632117,9.1969733
441161269,amenity,bank,Banca di Vicenza,,,,,45.4624813,9.1982993
441162764,amenity,bank,Monte dei Paschi di Siena,Milano,Piazza Fontana,4,20122,45.463163,9.19406
441577697,amenity,bank,Intesa Sanpaolo,,,,,45.4522145,9.2029962
442022320,amenity,bank,Intesa Sanpaolo,Milano,Via Monte Napoleone,27A,20121,45.4696129,9.1933647
442581961,amenity,bank,Banca Popolare di Bari,,,,,45.4503729,9.1968607
442981838,amenity,bank,Crédit Agricole,,,,,45.4507433,9.2027159
442984579,amenity,bank,,,,,,45.4734597,9.1898335
444374380,amenity,bank,UBI Banca,,,,,45.4526107,9.2017446
680094612,amenity,bank,UniCredit Bank,,,,,45.4657982,9.1881067999999
701989748,amenity,bank,Banca del Territorio Lombardo,Milano,Via Vincenzo Monti,54,20123,45.4717362,9.1683506999999
715948248,amenity,bank,UniCredit Bank,Milano,Corso Italia,1,20122,45.4603059,9.1884442999999
715948257,amenity,bank,UniCredit Bank,Milano,Via Alberico Albricci,10,,45.460589,9.1904779999999
1273580572,amenity,bank,BOC,Milano,Via Santa Margherita,16,20121,45.4664516,9.1890466999999
1274837211,amenity,bank,ICBC,Milano,Via Tommaso Grossi,2,20121,45.4657216,9.1891245999999
1279667259,amenity,bank,UniCredit Bank,,,,,45.4750531,9.2052843999999
1322862647,amenity,bank,UniCredit Bank,,,,,45.466035,9.1646092999999
1350644860,amenity,bank,UniCredit Bank,,,,,45.4640905,9.1834641999999
1381690681,amenity,bank,Cariparma,,,,,45.4591602,9.1818243999999
1524472602,amenity,bank,Crédit Agricole,,,,,45.4626465,9.1980296999999
1566286236,amenity,bank,Intesa Sanpaolo,,,,,45.455246600001,9.1720286999999
1627126626,amenity,bank,Intesa Sanpaolo,,Via Cesare Battisti,11,,45.463137600001,9.1997584999999
1627126632,amenity,bank,Allianz Global Investors Europe GmbH,Milano,Via Durini,1,20122,45.463753300001,9.1974027999999
1697843097,amenity,bank,Intesa Sanpaolo,,,,,45.467075200001,9.1761406999999
1721606912,amenity,bank,Intesa Sanpaolo,,,,,45.459089000001,9.1778225999999
1828890768,amenity,bank,,,,,,45.466063700001,9.1907195999999
1828890769,amenity,bank,Creval,,,,,45.466362800001,9.1913392999999
1836685251,amenity,bank,Banca Cesare Ponti,Milano,Piazza del Duomo,19,20121,45.464952800001,9.1886542999999
1836685253,amenity,bank,ING,Milano,Via Tommaso Grossi,2,20121,45.465726000001,9.1887094999999
1855655518,amenity,bank,Monte dei Paschi di Siena,,,,,45.472600600001,9.1948030999999
1901845016,amenity,bank,Banca Popolare di Bari,Milano,Via Flavio Baracchini,2,20123,45.4616539,9.1904242999999
1940587388,amenity,bank,Intesa Sanpaolo,Milano,Piazza Cordusio,4,,45.4654961,9.1868967999999
1940649250,amenity,bank,Intesa Sanpaolo,Milano,Corso Giuseppe Garibaldi,86,20121,45.4774015,9.1846815999999
2050577608,amenity,bank,BNL,,,,,45.4651397,9.2070544999998
2066420176,amenity,bank,Deutsche Bank,,,,,45.4612645,9.1915417999998
2075271810,amenity,bank,Deutsche Bank,,,,,45.4567767,9.1845245999998
2131451012,amenity,bank,Banca Intesa Sanpaolo,,,,,45.471353,9.2016389999998
2219734508,amenity,bank,BPER Banca,Milano,Via Gaetano Negri,10,20123,45.4651327,9.1836480999998
2219734545,amenity,bank,UniCredit Bank,,,,,45.4646476,9.1857157999998
2219734551,amenity,bank,Banco di Desio,Milano,Via della Posta,8;10,20123,45.4644748,9.1833450999998
2219757689,amenity,bank,Credito Artigiano,,,,,45.4658499,9.1850768999998
2219768030,amenity,bank,Banca Popolare di Lodi,Milano,Piazza dei Mercanti,5,20121,45.4645698,9.1874493999998
2269147961,amenity,bank,Banca Intesa Sanpaolo,,,,,45.4656595,9.1989574999998
2302963469,amenity,bank,Banca Popolare di Lodi,,,,,45.4658414,9.1818895999998
2349924262,amenity,bank,UniCredit Bank,,,,,45.4688794,9.1913510999998
2373589581,amenity,bank,UniCredit Bank,Milano,Via Giosuè Carducci,10,20123,45.4664289,9.1757833999998
2391329529,amenity,bank,Crédit Agricole,,,,,45.4673047,9.1939970999998
2399589567,amenity,bank,UniCredit Bank,,,,,45.4757694,9.1942999999998
2400614077,amenity,bank,Banca di Asti,Milano,Via Alessandro Manzoni,12,20121,45.4684207,9.1912377999998
2416147965,amenity,bank,BTL Banca del Territorio Lombardo,,,,,45.4803018,9.1816992999998
2471320008,amenity,bank,Barclays,Milano,Via Varese,4,20121,45.4789719,9.1845593999998
2524655281,amenity,bank,Veneto Banca,Milano,Piazza degli Affari,3,20123,45.4645859,9.1828824999998
2529826462,amenity,bank,UBI Banca,Milano,Via Giovanni Boccaccio,2,20123,45.4679959,9.1754465999998
2666810639,amenity,bank,UBI Banca,,,,,45.452604900001,9.1812512999998
2668881632,amenity,bank,Banco Desio,Milano,Largo Paolo D'Ancona,1/8,20123,45.466032800001,9.1753317999998
2668889603,amenity,bank,BNL,,,,,45.467447900001,9.1733360999998
2747198378,amenity,bank,Banca Popolare di Milano,,,,,45.463377300001,9.1960372999998
2838349170,amenity,bank,Veneto Banca,Milano,Via Cusani,16,20121,45.4687441,9.1836202999998
2966727786,amenity,bank,UniCredit Bank,,,,,45.4667817,9.1926770999998
2966737878,amenity,bank,,Milano,Via Giuseppe Verdi,7,20121,45.4684833,9.1884620999998
2966737879,amenity,bank,UniCredit Bank,,,,,45.4651859,9.1975336999998
2973140265,amenity,bank,Credit Suisse,Milano,Via Santa Margherita,3,20121,45.4659694,9.1882734999998
2981774550,amenity,bank,La Cassa di Ravenna,Milano,Via Dante,11 N01,20123,45.4667845,9.1839158999998
2991373500,amenity,bank,BNL,,Corso Europa,22,,45.4652887,9.1976289999998
3001346152,amenity,bank,IWBank,,,,,45.4649967,9.1973365999998
3007506339,amenity,bank,Crédit Agricole,,,,,45.4642402,9.1864339999998
3018903704,amenity,bank,Banca Popolare di Sondrio,,,,,45.4632811,9.1993816999998
3018903705,amenity,bank,Deutsche Bank,Milano,Via Filippo Corridoni,1,20122,45.4633267,9.1998964999998
3023303443,amenity,bank,Monte dei Paschi di Siena,Milano,Largo Cairoli,1,20123,45.4676676,9.1824074999998
3023341489,amenity,bank,Deutsche Bank,,,,,45.466156,9.1860777999998
3027142717,amenity,bank,Banca Euromobiliare,Milano,Via Santa Margherita,9,20121,45.466493,9.1887512999998
3027142718,amenity,bank,Monte dei Paschi di Siena,Milano,Via Santa Margherita,11,20121,45.4666775,9.1889303999998
3027142719,amenity,bank,Citibank,,,,,45.4653306,9.1872435999998
3037337924,amenity,bank,Banca Intermobiliare,,,,,45.465971,9.1843083999998
3037507378,amenity,bank,Banca Popolare della Puglia e Basilicata,Milano,Via Santa Margherita,4,20121,45.4652997,9.1879615999998
3042197612,amenity,bank,UBI Banca Popolare di Bergamo,,,,,45.4626895,9.2064094999998
3098541513,amenity,bank,Banca Fideuram,Milano,Corso di Porta Romana,16,20122,45.459171,9.1905569999998
3253255133,amenity,bank,Widiba,Milano,Via San Vittore al Teatro,1/3,20123,45.4651226,9.1824231999998
3253255605,amenity,bank,Banca Centropadana,Milano,Piazza degli Affari,5,20123,45.4650037,9.1826668999998
3273570475,amenity,bank,Intesa Sanpaolo,,,,,45.4742361,9.2067330999998
3308385078,amenity,bank,Banca Popolare di Milano,Milano,Via Filippo Turati,26,20121,45.4758837,9.1949047999998
3312782861,amenity,bank,UniCredit Bank,,,,,45.4779492,9.1838999999998
3312832827,amenity,bank,Crédit Agricole,Milano,Via della Moscova,53,20121,45.4780089,9.1822832999998
3442415265,amenity,bank,Banca Popolare di Bari,,,,,45.4778559,9.1687477999998
